endTime,artistName,trackName,msPlayed,uri
2021-05-21 15:06,Lakyn,West,23,6DmTAkz3WeyJgzMyCxjURS
2021-05-21 15:09,Charli XCX,Spinning (with Charli XCX & The 1975) (A. G. Cook Remix),1999,7zfHmKd3VpeIOJrR3p8RWE
2021-05-21 15:09,Glass Animals,Space Ghost Coast To Coast (with Bree Runway),175869,4mjV2VrBj1vAOV8dFlXs7i
2021-05-21 15:09,Glass Animals,Space Ghost Coast To Coast (with Bree Runway),3799,4mjV2VrBj1vAOV8dFlXs7i
2021-05-21 15:10,Charli XCX,Spinning (with Charli XCX & The 1975) (A. G. Cook Remix),54282,7zfHmKd3VpeIOJrR3p8RWE
2021-05-21 15:11,Petit Biscuit,Pick Your Battles - VIP Mix,24113,0NlhBx1zO1XubIyUYFus7n
2021-05-21 15:14,Lewis Watson,into the wild - piano instrumental,12251,5jAJdGwclqIgx9VkxoahLr
2021-05-21 15:14,Wafia,Pick Me (feat. Rahmania Astrini),178826,7f7dNodd0c63UStsiDpHqE
2021-05-21 15:20,Nicki Minaj,Seeing Green (with Drake & Lil Wayne),339506,1TZv3bujNaYz646eezRE91
2021-05-21 15:21,Mike Posner,Jealousy (feat. blackbear),6395,3MxvnLsw2nx9W12svVvmyr
2021-05-21 15:21,James Vincent McMorrow,Paradise,90312,6gOquLhQdf9qUr1NzVzuBS
2021-05-21 15:21,Lana Del Rey,Text Book,14445,4brdb8L2Cy3e9AN8IfV9l8
2021-05-21 15:22,Major Lazer,Titans (feat. Sia & Labrinth) - Imanbek Remix,870,4t97sRwzvROgOqOqIociAr
2021-05-21 15:22,London Grammar,Lord It's a Feeling - High Contrast Remix,3836,2a41HsQ8OyKpP3Hon5lmU2
2021-05-21 15:25,London Grammar,Lord It's a Feeling - High Contrast Remix,230622,2a41HsQ8OyKpP3Hon5lmU2
2021-05-21 15:26,Major Lazer,Titans (feat. Sia & Labrinth) - Imanbek Remix,32658,4t97sRwzvROgOqOqIociAr
